水,water,shuǐ,[sound:水.mp3]
中国,China,zhōng guó,[sound:中国.mp3]
明天,tomorrow,míng tiān,[sound:明天.mp3]
朋友,friend,péng you,[sound:朋友.mp3]
东西,things; stuff,dōng xi,[sound:东西.mp3]
听,listen; hear,tīng,[sound:听.mp3]
开,to open; to start; to operate (a vehicle),kāi,[sound:开.mp3]
几,how many; several; a few,jǐ,[sound:几.mp3]
喝,to drink,hē,[sound:喝.mp3]
回,to return; to reply; to go back,huí,[sound:回.mp3]
钱,money; coin,qián,[sound:钱.mp3]
号,number; day of a month,hào,[sound:号.mp3]
岁,years old; age,suì,[sound:岁.mp3]
谢谢,thank you,xiè xie,[sound:谢谢.mp3]
冷,cold,lěng,[sound:冷.mp3]
工作,work; a job,gōng zuò,[sound:工作.mp3]
写,to write; to compose,xiě,[sound:写.mp3]
睡觉,to sleep; go to bed,shuì jiào,[sound:睡觉.mp3]
少,few; little,shǎo,[sound:少.mp3]
狗,dog,gǒu,[sound:狗.mp3]
本,measure word for books,běn,[sound:本.mp3]
电影,movie; film,diàn yǐng,[sound:电影.mp3]
妈妈,mom; mum,mā ma,[sound:妈妈.mp3]
多少,how much?; how many?,duō shao,[sound:多少.mp3]
哪,which; how,nǎ,[sound:哪.mp3]
坐,sit,zuò,[sound:坐.mp3]
分钟,minute; (measure word for time),fēn zhōng,[sound:分钟.mp3]
老师,teacher,lǎo shī,[sound:老师.mp3]
昨天,yesterday,zuó tiān,[sound:昨天.mp3]
字,letter; character,zì,[sound:字.mp3]
下午,afternoon,xià wǔ,[sound:下午.mp3]
北京,Beijing,běi jīng,[sound:北京.mp3]
猫,cat,māo,[sound:猫.mp3]
块,lump; piece; sum of money,kuài,[sound:块.mp3]
学习,learn; to study,xué xí,[sound:学习.mp3]
热,heat; hot,rè,[sound:热.mp3]
电脑,computer,diàn nǎo,[sound:电脑.mp3]
漂亮,pretty; beautiful,piào liang,[sound:漂亮.mp3]
同学,fellow student; schoolmate,tóng xué,[sound:同学.mp3]
书,book; letter,shū,[sound:书.mp3]
学校,school,xué xiào,[sound:学校.mp3]
天气,weather,tiān qì,[sound:天气.mp3]
爸爸,Dad,bà ba,[sound:爸爸.mp3]
菜,dish (type of food); vegetables,cài,[sound:菜.mp3]
认识,recognize; know (a person),rèn shi,[sound:认识.mp3]
苹果,apple,píng guǒ,[sound:苹果.mp3]
看见,see; catch sight of,kàn jiàn,[sound:看见.mp3]
些,some,xiē,[sound:些.mp3]
名字,name,míng zi,[sound:名字.mp3]
茶,tea,chá,[sound:茶.mp3]
读,to read; to study,dú,[sound:读.mp3]
学生,student,xué sheng,[sound:学生.mp3]
中午,noon; midday,zhōng wǔ,[sound:中午.mp3]
儿子,son,ér zi,[sound:儿子.mp3]
对不起,sorry,duì bu qǐ,[sound:对不起.mp3]
电视,television; TV,diàn shì,[sound:电视.mp3]
打电话,make a phone call,dǎ diàn huà,[sound:打电话.mp3]
后面,back; behind,hòu mian,[sound:后面.mp3]
高兴,happy; glad,gāo xìng,[sound:高兴.mp3]
女儿,daughter,nǚ ér,[sound:女儿.mp3]
医院,hospital,yī yuàn,[sound:医院.mp3]
水果,fruit,shuǐ guǒ,[sound:水果.mp3]
星期,week,xīng qī,[sound:星期.mp3]
怎么样,how about?; how is/was it?,zěn me yàng,[sound:怎么样.mp3]
上午,late morning (before noon),shàng wǔ,[sound:上午.mp3]
下雨,to rain,xià yǔ,[sound:下雨.mp3]
再见,goodbye; see you later,zài jiàn,[sound:再见.mp3]
医生,doctor,yī shēng,[sound:医生.mp3]
前面,in front,qián miàn,[sound:前面.mp3]
先生,Mr.; Sir,xiān sheng,[sound:先生.mp3]
飞机,airplane,fēi jī,[sound:飞机.mp3]
小姐,young lady; miss; Ms.,xiǎo jie,[sound:小姐.mp3]
哪儿,where? (Beijing accent),nǎ r,[sound:哪儿.mp3]
没关系,it doesn't matter; never mind,méi guān xi,[sound:没关系.mp3]
杯子,cup; glass,bēi zi,[sound:杯子.mp3]
桌子,table; desk,zhuō zi,[sound:桌子.mp3]
汉语,Chinese language,hàn yǔ,[sound:汉语.mp3]
米饭,(cooked) rice,mǐ fàn,[sound:米饭.mp3]
椅子,chair,yǐ zi,[sound:椅子.mp3]
出租车,taxi; cab,chū zū chē,[sound:出租车.mp3]
商店,shop; store,shāng diàn,[sound:商店.mp3]
饭店,restaurant; hotel,fàn diàn,[sound:饭店.mp3]
不客气,you're welcome; don't be polite,bú kè qi,[sound:不客气.mp3]
八,eight,bā,[sound:八.mp3]
多,many,duō,[sound:多.mp3]
二,two,èr,[sound:二.mp3]
九,nine,jiǔ,[sound:九.mp3]
六,six,liù,[sound:六.mp3]
七,seven,qī,[sound:七.mp3]
三,three,sān,[sound:三.mp3]
十,ten,shí,[sound:十.mp3]
四,four,sì,[sound:四.mp3]
五,five,wǔ,[sound:五.mp3]
一,one; once; a,yī,[sound:一.mp3]
衣服,clothes,yī fu,[sound:衣服.mp3]
找,try to find,zhǎo,[sound:找.mp3]
不行,not allowed,Bù xíng,[sound:不行.mp3]
游戏,game,yóu xì,[sound:游戏.mp3]
适合,suitable for,Shì hé,[sound:适合.mp3]
进来吧,come in,Jìn lái ba ,[sound:进来吧.mp3]
坏人,bad person,Huài rén,[sound:坏人.mp3]
加油,Come on! (Encouragement),Jiā yóu,[sound:加油.mp3]
集,Episode,Jí,[sound:集.mp3]
我还是老样子,The same old thing,Wǒ hái shì lǎo yàng zi,[sound:我还是老样子.mp3]
张婉凝,Zhang Wanning,Zhāng wǎn níng,[sound:张婉凝.mp3]
披萨,Pizza,Pī sà,[sound:披萨.mp3]
蛋炒饭,Egg fried rice,Dàn chǎo fàn,[sound:蛋炒饭.mp3]
德国,Germany,Dé guó,[sound:德国.mp3]
俄国,Russia,É guó,[sound:俄国.mp3]
意大利,Italy,Yì dà lì,[sound:意大利.mp3]
爱尔兰,Ireland,Ài ěr lán,[sound:爱尔兰.mp3]
加拿大,Canada,Jiā ná dà,[sound:加拿大.mp3]
泰国,Thailand,Tài guó,[sound:泰国.mp3]
汉语水平考试,HSK,Hàn yǔ shuǐ píng kǎo shì,[sound:汉语水平考试.mp3]
苏格兰,Scotland,Sū gé lán,[sound:苏格兰.mp3]
格拉斯哥,Glasgow,Gé lā sī gē,[sound:格拉斯哥.mp3]
爱丁堡,Edinburgh,Ài dīng bǎo,[sound:爱丁堡.mp3]
阿但丁,Aberdeen,A dàn dīng,[sound:阿但丁.mp3]
魔法,Magic,Mó fǎ,[sound:魔法.mp3]
棒,Stick,Bàng,[sound:棒.mp3]
挥动,to wave,Huī dòng,[sound:挥动.mp3]
然后,then; afterwards,rán hòu,[sound:然后.mp3]
青蛙,Frog,Qīng wā,[sound:青蛙.mp3]
自己,oneself; self,zì jǐ,[sound:自己.mp3]
应该,should,yīng gāi,[sound:应该.mp3]
别的,other,Bié de,[sound:别的.mp3]
地方,A place,dì fang,[sound:地方.mp3]
孤单,lonely,Gū dān,[sound:孤单.mp3]
需要,to need,xū yào,[sound:需要.mp3]
帮忙,to help,bāng máng,[sound:帮忙.mp3]
巧克力,Chocolate,Qiǎo kè lì,[sound:巧克力.mp3]
饼干,cookie,Bǐng gān,[sound:饼干.mp3]
舔,to Lick,Tiǎn,[sound:舔.mp3]
开始,begin; to start; beginning,kāi shǐ,[sound:开始.mp3]
视频,video,Shì pín,[sound:视频.mp3]
空气动力学,aerodynamics,Kōng qì dòng lì xué,[sound:空气动力学.mp3]
热力学,Thermodynamics,Rè lì xué,[sound:热力学.mp3]
力学,Mechanics,Lì xué,[sound:力学.mp3]
流体力学,Fluid Mechanics,Liú tǐ lì xué,[sound:流体力学.mp3]
工程师,Engineer,Gōng chéng shī,[sound:工程师.mp3]
微积分学,Calculus,Wéi jī fēn xué,[sound:微积分学.mp3]
室友,Roommate,Shì yǒu,[sound:室友.mp3]
下载,to download,Xià zài,[sound:下载.mp3]
上传,to upload,Shàng chuán,[sound:上传.mp3]
酸疼,Sore,Suān téng,[sound:酸疼.mp3]
下一集,Next episode,Xià yī jí,[sound:下一集.mp3]
鱼,fish,yú,[sound:鱼.mp3]
就,then; at once; just; only; with regard to,jiù,[sound:就.mp3]
也,also; too,yě,[sound:也.mp3]
要,will/shall; important,yào,[sound:要.mp3]
到,arrive (at a place); until (a time),dào,[sound:到.mp3]
给,to give; to grant,gěi,[sound:给.mp3]
着,"particle attached after verb to indicate action in progress, like -ing ending",zhe,[sound:着.mp3]
真,real; true; genuine,zhēn,[sound:真.mp3]
可以,can; may; possible; okay,kě yǐ,[sound:可以.mp3]
最,the most; -est; (indicator for superlative),zuì,[sound:最.mp3]
对,correct; a pair; to face; be opposite; to; towards,duì,[sound:对.mp3]
让,ask; let; yield,ràng,[sound:让.mp3]
大家,everyone,dà jiā,[sound:大家.mp3]
两,two; 2; both; (unit of weight equal to 50 grams),liǎng,[sound:两.mp3]
再,again; once more,zài,[sound:再.mp3]
日,day; date,rì,[sound:日.mp3]
快,fast; quick; swift,kuài,[sound:快.mp3]
新,New,xīn,[sound:新.mp3]
因为,because,yīn wèi,[sound:因为.mp3]
次,(mw for number of times of occurrence); nth; order,cì,[sound:次.mp3]
一起,together; in the same place,yì qǐ,[sound:一起.mp3]
出,go out; occur,chū,[sound:出.mp3]
走,to walk; to go; to move (Kangxi radical 156),zǒu,[sound:走.mp3]
觉得,feel/think (opinion based on feeling),jué de,[sound:觉得.mp3]
知道,know; be aware of,zhī dao,[sound:知道.mp3]
时间,time; period,shí jiān,[sound:时间.mp3]
比,compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks,bǐ,[sound:比.mp3]
希望,to hope; wish for; to desire,xī wàng,[sound:希望.mp3]
已经,already,yǐ jing,[sound:已经.mp3]
笑,to laugh; to smile,xiào,[sound:笑.mp3]
别,don't do something; don't | depart; | other; difference; distinguish,bié,[sound:别.mp3]
从,from; obey; observe,cóng,[sound:从.mp3]
玩,to play; have a good time; visit; enjoy,wán,[sound:玩.mp3]
它,it,tā,[sound:它.mp3]
快乐,happy,kuài lè,[sound:快乐.mp3]
一下,a little bit/while; one time; once,yí xià,[sound:一下.mp3]
女,woman; female (Kangxi radical 38),nǚ,[sound:女.mp3]
所以,so; therefore; as a result,suǒ yǐ,[sound:所以.mp3]
但是,but; however,dàn shì,[sound:但是.mp3]
高,high; tall (Kangxi radical 189),gāo,[sound:高.mp3]
完,to finish; be over; complete,wán,[sound:完.mp3]
孩子,child; children; son or daughter,hái zi,[sound:孩子.mp3]
男,male,nán,[sound:男.mp3]
懂,to understand,dǒng,[sound:懂.mp3]
为什么,why?; for what reason?,wèi shén me,[sound:为什么.mp3]
问,ask; inquire,wèn,[sound:问.mp3]
穿,to wear; put on; penetrate,chuān,[sound:穿.mp3]
晚上,evening; night,wǎn shang,[sound:晚上.mp3]
您,you (polite),nín,[sound:您.mp3]
件,"(mw for things, clothes, and items)",jiàn,[sound:件.mp3]
路,road; path; journey; route,lù,[sound:路.mp3]
问题,question; problem,wèn tí,[sound:问题.mp3]
事情,matter; affair; thing; business,shì qing,[sound:事情.mp3]
可能,possible; maybe,kě néng,[sound:可能.mp3]
累,tired,lèi,[sound:累.mp3]
错,mistake; error; blunder; miss an opportunity,cuò,[sound:错.mp3]
小时,hour,xiǎo shí,[sound:小时.mp3]
虽然,although; even though,suī rán,[sound:虽然.mp3]
红,red; symbol of success; bonus; popular,hóng,[sound:红.mp3]
白,white; snowy; pure; bright; empty (Kangxi radical 106),bái,[sound:白.mp3]
黑,black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),hēi,[sound:黑.mp3]
非常,extremely; extraordinary; very,fēi cháng,[sound:非常.mp3]
告诉,to tell; inform,gào su,[sound:告诉.mp3]
卖,to sell,mài,[sound:卖.mp3]
公司,company; corporation,gōng sī,[sound:公司.mp3]
正在,in the process of (doing something); currently,zhèng zài,[sound:正在.mp3]
准备,prepare; get ready,zhǔn bèi,[sound:准备.mp3]
早上,(early) morning,zǎo shang,[sound:早上.mp3]
身体,health; (human) body,shēn tǐ,[sound:身体.mp3]
门,door; opening; gate (Kangxi radical 169),mén,[sound:门.mp3]
上班,go to work; be on duty,shàng bān,[sound:上班.mp3]
进,enter; come in,jìn,[sound:进.mp3]
每,each; every,měi,[sound:每.mp3]
眼睛,eye,yǎn jing,[sound:眼睛.mp3]
远,far; distant; remote,yuǎn,[sound:远.mp3]
帮助,help; assist; aid,bāng zhù,[sound:帮助.mp3]
考试,test; exam; to give or take a test,kǎo shì,[sound:考试.mp3]
洗,to wash; bathe,xǐ,[sound:洗.mp3]
外,outer; outside; in addition; foreign,wài,[sound:外.mp3]
票,ticket; bank note; a vote,piào,[sound:票.mp3]
忙,busy,máng,[sound:忙.mp3]
起床,get out of bed,qǐ chuáng,[sound:起床.mp3]
雪,snow,xuě,[sound:雪.mp3]
生日,birthday,shēng rì,[sound:生日.mp3]
姐姐,older sister,jiě jie,[sound:姐姐.mp3]
好吃,tasty,hǎo chī,[sound:好吃.mp3]
说话,to talk; speak,shuō huà,[sound:说话.mp3]
课,class; subject; lesson; course,kè,[sound:课.mp3]
咖啡,coffee,kā fēi,[sound:咖啡.mp3]
右边,the right (as opposed to left) side,yòu bian,[sound:右边.mp3]
休息,to rest; take a break,xiū xi,[sound:休息.mp3]
往,to go (in a direction); towards; in the past,wǎng,[sound:往.mp3]
意思,meaning; idea; opinion,yì si,[sound:意思.mp3]
近,near; close (to),jìn,[sound:近.mp3]
离,leave; depart; go away; apart from,lí,[sound:离.mp3]
贵,expensive; noble; honorable,guì,[sound:贵.mp3]
运动,(physical) exercise; movement; sports; campaign,yùn dòng,[sound:运动.mp3]
颜色,color,yán sè,[sound:颜色.mp3]
哥哥,older brother,gē ge,[sound:哥哥.mp3]
牛奶,cow's milk,niú nǎi,[sound:牛奶.mp3]
药,medicine; drug; cure; chemical,yào,[sound:药.mp3]
旅游,trip; journey; tour,lǚ yóu,[sound:旅游.mp3]
去年,last year,qù nián,[sound:去年.mp3]
旁边,"side, beside",páng biān,[sound:旁边.mp3]
鸡蛋,(chicken) egg,jī dàn,[sound:鸡蛋.mp3]
介绍,to introduce; recommend; introduction,jiè shào,[sound:介绍.mp3]
慢,slow,màn,[sound:慢.mp3]
题,topic; subject; question on a test or assignment,tí,[sound:题.mp3]
妹妹,younger sister,mèi mei,[sound:妹妹.mp3]
唱歌,sing (a song),chàng gē,[sound:唱歌.mp3]
便宜,cheap,pián yi,[sound:便宜.mp3]
晴,clear; fine (as of weather),qíng,[sound:晴.mp3]
阴,cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade,yīn,[sound:阴.mp3]
房间,room,fáng jiān,[sound:房间.mp3]
弟弟,younger brother,dì di,[sound:弟弟.mp3]
妻子,wife (formal),qī zi,[sound:妻子.mp3]
生病,get sick; fall ill,shēng bìng,[sound:生病.mp3]
丈夫,husband; man,zhàng fu,[sound:丈夫.mp3]
机场,airport; airfield,jī chǎng,[sound:机场.mp3]
左边,the left side; the left,zuǒ bian,[sound:左边.mp3]
教室,classroom,jiào shì,[sound:教室.mp3]
西瓜,watermelon,xī guā,[sound:西瓜.mp3]
跳舞,to dance,tiào wǔ,[sound:跳舞.mp3]
羊肉,mutton; lamb,yáng ròu,[sound:羊肉.mp3]
报纸,newspaper,bào zhǐ,[sound:报纸.mp3]
跑步,to run; to jog,pǎo bù,[sound:跑步.mp3]
游泳,to swim,yóu yǒng,[sound:游泳.mp3]
手表,wristwatch,shǒu biǎo,[sound:手表.mp3]
服务员,waiter/waitress; server; attendant,fú wù yuán,[sound:服务员.mp3]
姓,surname; family name,xìng,[sound:姓.mp3]
铅笔,pencil,qiān bǐ,[sound:铅笔.mp3]
面条,noodles,miàn tiáo,[sound:面条.mp3]
火车站,train station,huǒ chē zhàn,[sound:火车站.mp3]
宾馆,guesthouse; hotel,bīn guǎn,[sound:宾馆.mp3]
公共汽车,(public) bus,gōng gòng qì chē,[sound:公共汽车.mp3]
百,hundred,bǎi,[sound:百.mp3]
打篮球,play basketball,dǎ lán qiú,[sound:打篮球.mp3]
第一,first; number 1,dì yī,[sound:第一.mp3]
零,zero; remnant,líng,[sound:零.mp3]
千,one thousand,qiān,[sound:千.mp3]
手机,mobile (cell) phone,shǒu jī,[sound:手机.mp3]
踢足球,to play football/soccer,tī zú qiú,[sound:踢足球.mp3]
啊,"ah; (particle showing elation, doubt, puzzled surprise, or approval)",a,[sound:啊.mp3]
又,(once) again; also; both (Kangxi radical 29),yòu,[sound:又.mp3]
被,by (indicates passive voice sentences); a quilt/blanket,bèi,[sound:被.mp3]
把,(mw for things with handles); (pretransitive particle); to hold,bǎ,[sound:把.mp3]
为,for; because of; to; for the sake of,wèi,[sound:为.mp3]
还是,or (question); still; nevertheless; had better,hái shi,[sound:还是.mp3]
用,to use (Kangxi radical 101),yòng,[sound:用.mp3]
元,Chinese monetary unit; dollar; first; principal,yuán,[sound:元.mp3]
地,earth; ground | (adverbial particle),dì | de,[sound:地.mp3]
才,just now/only(small number)/ability/talent/not until,cái,[sound:才.mp3]
如果,if; in the event that,rú guǒ,[sound:如果.mp3]
只,only; merely; just | (mw for birds and certain animals),zhī | zhǐ,[sound:只.mp3]
跟,to follow; go with; heel,gēn,[sound:跟.mp3]
更,more; even more,gèng,[sound:更.mp3]
种,type; breed; race; seed,zhǒng,[sound:种.mp3]
像,be like; resemble; appearance; appear,xiàng,[sound:像.mp3]
老,old; aged; tough; often (Kangxi radical 125),lǎo,[sound:老.mp3]
别人,other people; others,bié ren,[sound:别人.mp3]
其实,actually; in fact,qí shí,[sound:其实.mp3]
带,bring/take along/band/belt/ribbon/carry/g/bring up (kids),dài,[sound:带.mp3]
世界,world,shì jiè,[sound:世界.mp3]
发,send out; to issue; to show (one's feelings) | hair,fā | fà,[sound:发.mp3]
一直,always; all along; straight (in a straight line),yì zhí,[sound:一直.mp3]
发现,To discover/find/identify,fā xiàn,[sound:发现.mp3]
位,position; location; (polite mw for people),wèi,[sound:位.mp3]
终于,at last; in the end; finally,zhōng yú,[sound:终于.mp3]
张,(mw for flat objects); to spread out; (common surname),zhāng,[sound:张.mp3]
一样,the same; alike; equal to,yí yàng,[sound:一样.mp3]
分,divide; part; minute; cent | component; share; ingredient,fēn | fèn,[sound:分.mp3]
只有,only,zhǐ yǒu,[sound:只有.mp3]
先,first; early; before,xiān,[sound:先.mp3]
越,even more; the more; exceed,yuè,[sound:越.mp3]
条,strip; (mw for long thin objects); item,tiáo,[sound:条.mp3]
拿,carry in your hand; seize; to catch,ná,[sound:拿.mp3]
包,"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",bāo,[sound:包.mp3]
花,flower; blossom; spend money; cost,huā,[sound:花.mp3]
双,two; double; (mw for pairs),shuāng,[sound:双.mp3]
哭,cry; weep,kū,[sound:哭.mp3]
为了,in order to; for the sake of; for the purpose of,wèi le,[sound:为了.mp3]
突然,sudden; abrupt,tū rán,[sound:突然.mp3]
重要,important; significant; major,zhòng yào,[sound:重要.mp3]
记得,remember,jì de,[sound:记得.mp3]
努力,to work hard; to strive,nǔ lì,[sound:努力.mp3]
必须,must/have to (mandatory),bì xū,[sound:必须.mp3]
过去,in the past; formerly,guò qù,[sound:过去.mp3]
最近,recently; lately; these days,zuì jìn,[sound:最近.mp3]
总是,always; eventually,zǒng shì,[sound:总是.mp3]
城市,city or town,chéng shì,[sound:城市.mp3]
换,change; to exchange; to barter; to trade,huàn,[sound:换.mp3]
选择,select; to pick; choose,xuǎn zé,[sound:选择.mp3]
脸,face,liǎn,[sound:脸.mp3]
向,direction; towards; to turn; to face,xiàng,[sound:向.mp3]
参加,participate; join; take part in,cān jiā,[sound:参加.mp3]
相信,believe (sb.); be convinced of,xiāng xìn,[sound:相信.mp3]
短,"short (in length, duration, or height); lack",duǎn,[sound:短.mp3]
容易,easy to do/likely/liable (to),róng yì,[sound:容易.mp3]
机会,opportunity; chance; occasion,jī huì,[sound:机会.mp3]
讲,to talk; to lecture; to explain; a speech,jiǎng,[sound:讲.mp3]
米,rice; meter (Kangxi radical 119),mǐ,[sound:米.mp3]
难,difficult,nán,[sound:难.mp3]
口,mouth (Kangxi radical 30),kǒu,[sound:口.mp3]
简单,simple; not complicated,jiǎn dān,[sound:简单.mp3]
照片,picture; photograph,zhào piàn,[sound:照片.mp3]
注意,pay attention to; take notice of; be careful,zhù yì,[sound:注意.mp3]
健康,health; healthy,jiàn kāng,[sound:健康.mp3]
饿,hungry,è,[sound:饿.mp3]
完成,to complete; accomplish; to fulfill,wán chéng,[sound:完成.mp3]
以前,before; formerly; previous,yǐ qián,[sound:以前.mp3]
而且,moreover; in addition; as well as,ér qiě,[sound:而且.mp3]
或者,or (statement),huò zhě,[sound:或者.mp3]
习惯,habit; be accustomed to; usual practice,xí guàn,[sound:习惯.mp3]
秋,autumn; fall; harvest time,qiū,[sound:秋.mp3]
比较,compare; contrast; relatively,bǐ jiào,[sound:比较.mp3]
瘦,thin; tight; lean,shòu,[sound:瘦.mp3]
半,half; semi-; incomplete,bàn,[sound:半.mp3]
马,horse (Kangxi radical 187),mǎ,[sound:马.mp3]
疼,ache; sore; (it) hurts; love fondly,téng,[sound:疼.mp3]
决定,decide; resolve,jué dìng,[sound:决定.mp3]
差,fall short of/differ from/poor/inferior,chà,[sound:差.mp3]
接,to receive(catch)/connect/to meet/to pick up (somebody),jiē,[sound:接.mp3]
西,West (Kangxi radical 146),xī,[sound:西.mp3]
班,team; class; squad,bān,[sound:班.mp3]
国家,country; state; nation,guó jiā,[sound:国家.mp3]
其他,other; else,qí tā,[sound:其他.mp3]
明白,clear; obvious; understand; explicit,míng bai,[sound:明白.mp3]
结婚,to get married,jié hūn,[sound:结婚.mp3]
音乐,music,yīn yuè,[sound:音乐.mp3]
腿,leg,tuǐ,[sound:腿.mp3]
脚,foot (body part),jiǎo,[sound:脚.mp3]
遇到,to meet/encounter/run into/come across,yù dào,[sound:遇到.mp3]
离开,leave; depart,lí kāi,[sound:离开.mp3]
画,draw; picture; painting,huà,[sound:画.mp3]
春,spring (season); joyful,chūn,[sound:春.mp3]
欢迎,to welcome; greet,huān yíng,[sound:欢迎.mp3]
楼,story; floor; (multi-story) building (noun),lóu,[sound:楼.mp3]
愿意,be willing; want to; be ready,yuàn yì,[sound:愿意.mp3]
冬,winter,dōng,[sound:冬.mp3]
久,long (time),jiǔ,[sound:久.mp3]
鸟,bird (Kangxi radical 196),niǎo,[sound:鸟.mp3]
除了,besides; except for; aside from; in addition to,chú le,[sound:除了.mp3]
结束,to end; to finish; conclude,jié shù,[sound:结束.mp3]
一般,general; ordinary; common; same,yì bān,[sound:一般.mp3]
了解,get to know/find out/understand/comprehend/,liǎo jiě,[sound:了解.mp3]
要求,to request; to demand; requirement,yāo qiú,[sound:要求.mp3]
认为,believe/think that (an actual opinion),rèn wéi,[sound:认为.mp3]
试,to try; to test; examination,shì,[sound:试.mp3]
草,grass; straw; draft (of a document),cǎo,[sound:草.mp3]
马上,at once; immediately; right away,mǎ shàng,[sound:马上.mp3]
胖,fat; plump,pàng,[sound:胖.mp3]
新闻,news,xīn wén,[sound:新闻.mp3]
影响,influence; affect; effect,yǐng xiǎng,[sound:影响.mp3]
头发,hair (on the head),tóu fa,[sound:头发.mp3]
文化,culture; civilization,wén huà,[sound:文化.mp3]
感冒,catch cold; (common) cold,gǎn mào,[sound:感冒.mp3]
教,teach; instruct | religion; teaching,jiāo | jiào,[sound:教.mp3]
关系,relation; to concern,guān xi,[sound:关系.mp3]
当然,of course; naturally,dāng rán,[sound:当然.mp3]
坏,bad; broken,huài,[sound:坏.mp3]
嘴,mouth,zuǐ,[sound:嘴.mp3]
解决,settle (a dispute); resolve; solve,jiě jué,[sound:解决.mp3]
经过,to pass; go through; as a result of,jīng guò,[sound:经过.mp3]
年轻,young,nián qīng,[sound:年轻.mp3]
东,East,dōng,[sound:东.mp3]
蓝,blue,lán,[sound:蓝.mp3]
办法,method; way (of doing something),bàn fǎ,[sound:办法.mp3]
清楚,clear; distinct; be clear about,qīng chu,[sound:清楚.mp3]
太阳,the sun,tài yáng,[sound:太阳.mp3]
碗,bowl; cup,wǎn,[sound:碗.mp3]
后来,afterwards; after; later,hòu lái,[sound:后来.mp3]
难过,be grieved; be sad; have a hard time,nán guò,[sound:难过.mp3]
节目,program; item (on a program),jié mù,[sound:节目.mp3]
多么,"how (wonderful, etc.); what (a great idea)",duō me,[sound:多么.mp3]
历史,history,lì shǐ,[sound:历史.mp3]
环境,environment; surroundings,huán jìng,[sound:环境.mp3]
关心,concerned about/with,guān xīn,[sound:关心.mp3]
同事,colleague; co-worker,tóng shì,[sound:同事.mp3]
一边,one side; on the one hand; at the same time,yì biān,[sound:一边.mp3]
刚才,just now; a moment ago,gāng cái,[sound:刚才.mp3]
极,an extreme; pole; very,jí,[sound:极.mp3]
银行,bank,yín háng,[sound:银行.mp3]
关于,about; regarding; concerning,guān yú,[sound:关于.mp3]
地铁,subway,dì tiě,[sound:地铁.mp3]
灯,lamp; light,dēng,[sound:灯.mp3]
比赛,(sports) match; competition,bǐ sài,[sound:比赛.mp3]
主要,main; principal; major,zhǔ yào,[sound:主要.mp3]
关,to close; shut; concern; relationship; turn off; mountain pass,guān,[sound:关.mp3]
生气,angry; mad,shēng qì,[sound:生气.mp3]
南,South,nán,[sound:南.mp3]
