得,(complement particle),de,[sound:得.mp3]
使,to use; to make; to cause; enable; envoy; messenger,shǐ,[sound:使.mp3]
收,receive; accept; collect; to harvest,shōu,[sound:收.mp3]
美丽,beautiful,měi lì,[sound:美丽.mp3]
任何,any; whatever; whichever,rèn hé,[sound:任何.mp3]
讨厌,to hate; loathe; disgusting; troublesome,tǎo yàn,[sound:讨厌.mp3]
到底,after all; in the end (used in a question),dào dǐ,[sound:到底.mp3]
敢,to dare,gǎn,[sound:敢.mp3]
赢,to win; to beat; to profit,yíng,[sound:赢.mp3]
完全,complete; whole; totally,wán quán,[sound:完全.mp3]
份,"part; portion; (mw for documents, papers, jobs, etc.)",fèn,[sound:份.mp3]
留,"to leave (behind, a message); to retain; to stay",liú,[sound:留.mp3]
改变,to change; alter; to transform,gǎi biàn,[sound:改变.mp3]
由,follow; from; by; through,yóu,[sound:由.mp3]
香,fragrant; savory (Kangxi radical 186),xiāng,[sound:香.mp3]
坚持,persist in; persevere,jiān chí,[sound:坚持.mp3]
表示,express; show; indicate,biǎo shì,[sound:表示.mp3]
照,to shine; illuminate; according to,zhào,[sound:照.mp3]
台,platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),tái,[sound:台.mp3]
感动,be moved; to touch emotionally,gǎn dòng,[sound:感动.mp3]
不管,"no matter (what, how, etc.); regardless of",bù guǎn,[sound:不管.mp3]
交,deliver; turn over; intersect; to pay (money); friendship,jiāo,[sound:交.mp3]
发生,happen; occur; take place,fā shēng,[sound:发生.mp3]
放弃,abandon; renounce; give up,fàng qì,[sound:放弃.mp3]
也许,perhaps; probably; maybe,yě xǔ,[sound:也许.mp3]
感情,feeling; emotion; sensation,gǎn qíng,[sound:感情.mp3]
直接,direct; immediate,zhí jiē,[sound:直接.mp3]
光,light; ray; bright; only; merely; used up,guāng,[sound:光.mp3]
肯定,sure; definite; affirm; approve,kěn dìng,[sound:肯定.mp3]
苦,bitter; miserable,kǔ,[sound:苦.mp3]
通过,by means of; through (a method); pass through; via,tōng guò,[sound:通过.mp3]
无聊,nonsense; bored; silly; stupid,wú liáo,[sound:无聊.mp3]
满,full; abbreviation for Manchurian,mǎn,[sound:满.mp3]
假,fake; if; borrow | vacation; holiday,jiǎ | jià,[sound:假.mp3]
适合,to suit; to fit,shì hé,[sound:适合.mp3]
社会,society,shè huì,[sound:社会.mp3]
擦,to wipe; to rub; to polish,cā,[sound:擦.mp3]
竟然,unexpectedly; to one's surprise; go so far as to,jìng rán,[sound:竟然.mp3]
弄,do; manage; to handle; make,nòng,[sound:弄.mp3]
使用,to use; employ; apply; administer; manipulate,shǐ yòng,[sound:使用.mp3]
深,deep; profound; dark (of colors),shēn,[sound:深.mp3]
醒,wake up,xǐng,[sound:醒.mp3]
值得,be worth; deserve,zhí de,[sound:值得.mp3]
困,sleepy; surround; hard-pressed,kùn,[sound:困.mp3]
挂,hang; put up; suspend,guà,[sound:挂.mp3]
篇,sheet; (mw for articles); piece of writing,piān,[sound:篇.mp3]
精彩,brilliant; spectacular; wonderful,jīng cǎi,[sound:精彩.mp3]
够,enough; to reach,gòu,[sound:够.mp3]
安全,safe; safety; secure; security,ān quán,[sound:安全.mp3]
低,low; to lower (one's head); droop,dī,[sound:低.mp3]
同时,at the same time; simultaneously,tóng shí,[sound:同时.mp3]
棒,stick; club; good; excellent,bàng,[sound:棒.mp3]
情况,circumstance; state of affairs; situation,qíng kuàng,[sound:情况.mp3]
辛苦,hard; exhausting; toilsome; laborious,xīn kǔ,[sound:辛苦.mp3]
接受,"accept; receive (honors, etc.)",jiē shòu,[sound:接受.mp3]
消息,news; information,xiāo xi,[sound:消息.mp3]
进行,carry on; carry out; undertake,jìn xíng,[sound:进行.mp3]
于是,as a result; thus; therefore,yú shì,[sound:于是.mp3]
是否,whether (or not); if,shì fǒu,[sound:是否.mp3]
要是,if; suppose; in case,yào shi,[sound:要是.mp3]
对于,regarding; as far as sth. is concerned; with regards to; for,duì yú,[sound:对于.mp3]
能力,capability; capable; ability,néng lì,[sound:能力.mp3]
回忆,to recall; recollect,huí yì,[sound:回忆.mp3]
信息,information; news; message,xìn xī,[sound:信息.mp3]
阳光,sunshine; sunlight,yáng guāng,[sound:阳光.mp3]
火,fire (Kangxi radical 86),huǒ,[sound:火.mp3]
味道,flavor; taste,wèi dao,[sound:味道.mp3]
即使,even if; even though,jí shǐ,[sound:即使.mp3]
倒,to collapse; to fall; fail; to exchange | to pour; contrary to expectations,dǎo | dào,[sound:倒.mp3]
样子,manner; air; appearance; looks,yàng zi,[sound:样子.mp3]
难道,could it be that ...?; don't tell me ...,nán dào,[sound:难道.mp3]
全部,whole; entire; complete,quán bù,[sound:全部.mp3]
压力,pressure; stress,yā lì,[sound:压力.mp3]
无论,no matter what; regardless of whether...,wú lùn,[sound:无论.mp3]
汤,soup; broth,tāng,[sound:汤.mp3]
羡慕,to envy; admire,xiàn mù,[sound:羡慕.mp3]
本来,originally; at first,běn lái,[sound:本来.mp3]
皮肤,skin,pí fū,[sound:皮肤.mp3]
自然,nature; natural,zì rán,[sound:自然.mp3]
方法,method; way; means,fāng fǎ,[sound:方法.mp3]
发展,develop; development; growth,fā zhǎn,[sound:发展.mp3]
确实,indeed; in truth; reliable,què shí,[sound:确实.mp3]
乱,disorder; confusion; arbitrarily,luàn,[sound:乱.mp3]
效果,effect; result,xiào guǒ,[sound:效果.mp3]
遍,a time; everywhere; turn; (mw for times or turns),biàn,[sound:遍.mp3]
可惜,it's a pity; regrettable; too bad,kě xī,[sound:可惜.mp3]
广告,advertisement; a commercial,guǎng gào,[sound:广告.mp3]
减肥,go on a diet; lose weight,jiǎn féi,[sound:减肥.mp3]
原因,cause; reason,yuán yīn,[sound:原因.mp3]
理解,comprehend; understand,lǐ jiě,[sound:理解.mp3]
估计,appraise; estimate,gū jì,[sound:估计.mp3]
速度,speed; rate; velocity,sù dù,[sound:速度.mp3]
可怜,pitiful; poor; pathetic,kě lián,[sound:可怜.mp3]
专业,profession; specialized field of study; major,zhuān yè,[sound:专业.mp3]
破,broken; damaged; to split,pò,[sound:破.mp3]
取,to take; get; choose,qǔ,[sound:取.mp3]
经历,undergo; to experience,jīng lì,[sound:经历.mp3]
保护,to protect; to defend,bǎo hù,[sound:保护.mp3]
正常,normal; regular; ordinary,zhèng cháng,[sound:正常.mp3]
轻松,relaxed; gentle; easygoing,qīng sōng,[sound:轻松.mp3]
当时,then; at that time; while,dāng shí,[sound:当时.mp3]
经济,economy; economic,jīng jì,[sound:经济.mp3]
实在,honest; in reality; honestly; indeed; certainly,shí zài,[sound:实在.mp3]
浪漫,romantic,làng màn,[sound:浪漫.mp3]
空,empty; sky | leave blank; leisure,kōng | kòng,[sound:空.mp3]
糖,sugar; candy; sweets,táng,[sound:糖.mp3]
联系,integrate; link; connection; contact,lián xì,[sound:联系.mp3]
解释,to explain,jiě shì,[sound:解释.mp3]
建议,to propose; to suggest; recommend,jiàn yì,[sound:建议.mp3]
其中,among; in; included among these,qí zhōng,[sound:其中.mp3]
指,"finger; to point (at, to, out); refer to",zhǐ,[sound:指.mp3]
技术,technology; technique; skill,jì shù,[sound:技术.mp3]
左右,about; approximate; around | left and right,zuǒ yòu,[sound:左右.mp3]
俩,(colloquial) two (people),liǎ,[sound:俩.mp3]
甚至,even (to the point of); so much so that,shèn zhì,[sound:甚至.mp3]
从来,always; at all times,cóng lái,[sound:从来.mp3]
国际,international,guó jì,[sound:国际.mp3]
丢,lose (something); throw; put aside,diū,[sound:丢.mp3]
网站,website,wǎng zhàn,[sound:网站.mp3]
谈,to talk; to chat; discuss,tán,[sound:谈.mp3]
任务,a mission; an assignment; a task,rèn wu,[sound:任务.mp3]
严重,grave; serious; critical,yán zhòng,[sound:严重.mp3]
肚子,belly; abdomen; stomach,dù zi,[sound:肚子.mp3]
过程,course of events; process,guò chéng,[sound:过程.mp3]
伤心,sad; grieve; brokenhearted,shāng xīn,[sound:伤心.mp3]
难受,feel unwell; to suffer pain,nán shòu,[sound:难受.mp3]
后悔,to regret; repent,hòu huǐ,[sound:后悔.mp3]
至少,at least; (to say the) least,zhì shǎo,[sound:至少.mp3]
记者,reporter; journalist,jì zhě,[sound:记者.mp3]
停,to stop; to halt; to park (a car),tíng,[sound:停.mp3]
提供,to supply; provide; furnish,tí gōng,[sound:提供.mp3]
推,to push; to scrape; to decline; postpone; elect,tuī,[sound:推.mp3]
态度,manner; bearing; attitude,tài du,[sound:态度.mp3]
教育,education,jiào yù,[sound:教育.mp3]
标准,(an official) standard; norm; criterion,biāo zhǔn,[sound:标准.mp3]
躺,recline; lie down (on back or side),tǎng,[sound:躺.mp3]
厉害,terrible; formidable; fierce; cool; awesome,lì hai,[sound:厉害.mp3]
底,bottom; background; base,dǐ,[sound:底.mp3]
部分,part; share; section,bù fen,[sound:部分.mp3]
旅行,travel,lǚ xíng,[sound:旅行.mp3]
云,cloud; Yunnan province | say; speak,yún,[sound:云.mp3]
失败,be defeated; fail; lose,shī bài,[sound:失败.mp3]
增加,to increase; to raise; add,zēng jiā,[sound:增加.mp3]
输,"to transport; to lose (a game, etc.)",shū,[sound:输.mp3]
计划,plan; project,jì huà,[sound:计划.mp3]
内容,content; substance; details,nèi róng,[sound:内容.mp3]
证明,proof; testify; confirm; certificate,zhèng míng,[sound:证明.mp3]
距离,distance; be apart; away from,jù lí,[sound:距离.mp3]
提,to carry; to lift; to raise (an issue),tí,[sound:提.mp3]
研究,to study; to research,yán jiū,[sound:研究.mp3]
管理,supervise; manage,guǎn lǐ,[sound:管理.mp3]
轻,light; easy; gentle; soft,qīng,[sound:轻.mp3]
刀,knife; blade (Kangxi radical 18),dāo,[sound:刀.mp3]
顺利,go smoothly; without a hitch; successful,shùn lì,[sound:顺利.mp3]
往往,often; frequently; more often than not,wǎng wǎng,[sound:往往.mp3]
辣,hot (spicy),là,[sound:辣.mp3]
骗,to cheat; to swindle; deceive,piàn,[sound:骗.mp3]
答案,answer; solution,dá àn,[sound:答案.mp3]
提醒,remind; call attention to; warn of,tí xǐng,[sound:提醒.mp3]
巧克力,chocolate,qiǎo kè lì,[sound:巧克力.mp3]
说明,explain; explanation; illustrate; to show,shuō míng,[sound:说明.mp3]
超过,surpass; exceed; outstrip,chāo guò,[sound:超过.mp3]
许多,many; a lot; much,xǔ duō,[sound:许多.mp3]
考虑,think over; consider,kǎo lǜ,[sound:考虑.mp3]
随便,as one pleases; informal; random; casual,suí biàn,[sound:随便.mp3]
丰富,rich; enrich; abundant; plentiful,fēng fù,[sound:丰富.mp3]
失望,disappointed; lose hope,shī wàng,[sound:失望.mp3]
重新,again; anew; once more,chóng xīn,[sound:重新.mp3]
方向,direction; orientation,fāng xiàng,[sound:方向.mp3]
正式,formal; official,zhèng shì,[sound:正式.mp3]
烦恼,worried; vexed,fán nǎo,[sound:烦恼.mp3]
剩,have as remainder; be left over; surplus,shèng,[sound:剩.mp3]
富,wealthy,fù,[sound:富.mp3]
激动,excite; agitate,jī dòng,[sound:激动.mp3]
浪费,to waste; squander,làng fèi,[sound:浪费.mp3]
关键,crucial; key; pivotal,guān jiàn,[sound:关键.mp3]
艺术,art,yì shù,[sound:艺术.mp3]
原谅,to excuse; forgive; to pardon,yuán liàng,[sound:原谅.mp3]
盐,salt,yán,[sound:盐.mp3]
猜,to guess,cāi,[sound:猜.mp3]
毕业,to graduate; to finish school,bì yè,[sound:毕业.mp3]
熟悉,familiar with; know well,shú xī,[sound:熟悉.mp3]
麻烦,trouble (someone); troubling; bothersome,má fan,[sound:麻烦.mp3]
自信,self-confidence,zì xìn,[sound:自信.mp3]
勇敢,brave; courageous,yǒng gǎn,[sound:勇敢.mp3]
文章,article; essay,wén zhāng,[sound:文章.mp3]
戴,put on; to wear; to respect,dài,[sound:戴.mp3]
省,to save; economize; omit; province,shěng,[sound:省.mp3]
另外,another; in addition; besides,lìng wài,[sound:另外.mp3]
拒绝,to refuse; to decline; to reject,jù jué,[sound:拒绝.mp3]
作用,action; activity; effect,zuò yòng,[sound:作用.mp3]
厚,thick (for flat things); generous,hòu,[sound:厚.mp3]
理想,ideal,lǐ xiǎng,[sound:理想.mp3]
错误,error; mistake; mistaken,cuò wù,[sound:错误.mp3]
十分,very; fully; 100%,shí fēn,[sound:十分.mp3]
动作,movement; motion; action,dòng zuò,[sound:动作.mp3]
赚,earn; make a profit,zhuàn,[sound:赚.mp3]
由于,due to; owing to; as a result of; thanks to,yóu yú,[sound:由于.mp3]
方面,aspect; field; side,fāng miàn,[sound:方面.mp3]
地球,the Earth; planet,dì qiú,[sound:地球.mp3]
性格,nature; personality; temperament,xìng gé,[sound:性格.mp3]
逛,to stroll; to visit; go window shopping,guàng,[sound:逛.mp3]
报名,sign up; apply,bào míng,[sound:报名.mp3]
提前,shift to an earlier date; bring forward; to advance,tí qián,[sound:提前.mp3]
不仅,not only; not just,bù jǐn,[sound:不仅.mp3]
空气,air,kōng qì,[sound:空气.mp3]
排队,queue; stand in line,pái duì,[sound:排队.mp3]
质量,quality; mass (physics),zhì liàng,[sound:质量.mp3]
差不多,almost; about the same,chà bu duō,[sound:差不多.mp3]
尊重,esteem; to respect; to value; to honor,zūn zhòng,[sound:尊重.mp3]
责任,responsibility; blame; duty,zé rèn,[sound:责任.mp3]
并且,and; besides; moreover,bìng qiě,[sound:并且.mp3]
紧张,nervous; tension; strain,jǐn zhāng,[sound:紧张.mp3]
知识,knowledge; intellectual,zhī shi,[sound:知识.mp3]
申请,apply for; application,shēn qǐng,[sound:申请.mp3]
积极,active; positive; energetic,jī jí,[sound:积极.mp3]
酸,sour; sore; ache,suān,[sound:酸.mp3]
年龄,(a person's) age,nián líng,[sound:年龄.mp3]
比如,for example; for instance; such as,bǐ rú,[sound:比如.mp3]
因此,therefore; thus; that is why; because of this,yīn cǐ,[sound:因此.mp3]
偶尔,occasionally; once in a while; sometimes,ǒu ěr,[sound:偶尔.mp3]
大概,probably; roughly; approximate,dà gài,[sound:大概.mp3]
存,exist; to deposit; to store,cún,[sound:存.mp3]
安排,arrange; to plan,ān pái,[sound:安排.mp3]
儿童,child; children,ér tóng,[sound:儿童.mp3]
咱们,we (including the listener); us; our,zán men,[sound:咱们.mp3]
既然,since; given that; now that,jì rán,[sound:既然.mp3]
购物,go shopping; buy goods,gòu wù,[sound:购物.mp3]
受不了,cannot endure; unbearable; can't stand,shòu bu liǎo,[sound:受不了.mp3]
语言,language,yǔ yán,[sound:语言.mp3]
经验,experience,jīng yàn,[sound:经验.mp3]
调查,investigate; survey; inquiry,diào chá,[sound:调查.mp3]
脾气,temperament; disposition; temper,pí qi,[sound:脾气.mp3]
出发,start out; set off,chū fā,[sound:出发.mp3]
倍,"(two, three, etc)-fold; times (multiplier)",bèi,[sound:倍.mp3]
正确,correct; proper,zhèng què,[sound:正确.mp3]
重点,emphasis; main point,zhòng diǎn,[sound:重点.mp3]
表演,perform; to play,biǎo yǎn,[sound:表演.mp3]
加班,work overtime,jiā bān,[sound:加班.mp3]
页,page; leaf (Kangxi radical 181),yè,[sound:页.mp3]
平时,ordinarily; in normal times; in peacetime,píng shí,[sound:平时.mp3]
优秀,outstanding; excellent,yōu xiù,[sound:优秀.mp3]
警察,police,jǐng chá,[sound:警察.mp3]
穷,poor; exhausted,qióng,[sound:穷.mp3]
复杂,complicated; complex,fù zá,[sound:复杂.mp3]
总结,summarize; conclude,zǒng jié,[sound:总结.mp3]
工资,wages; pay; earnings; salary,gōng zī,[sound:工资.mp3]
负责,responsible for (something); in charge of,fù zé,[sound:负责.mp3]
不得不,have to; have no choice but to; cannot but,bù dé bù,[sound:不得不.mp3]
保证,to guarantee; ensure,bǎo zhèng,[sound:保证.mp3]
小说,novel; fiction,xiǎo shuō,[sound:小说.mp3]
否则,if not; otherwise; or else,fǒu zé,[sound:否则.mp3]
困难,difficulty; difficult; problem,kùn nan,[sound:困难.mp3]
减少,reduce; to decrease,jiǎn shǎo,[sound:减少.mp3]
兴奋,excitement； be excited,xīng fèn,[sound:兴奋.mp3]
现金,cash,xiàn jīn,[sound:现金.mp3]
懒,lazy,lǎn,[sound:懒.mp3]
响,make a sound; to ring; echo,xiǎng,[sound:响.mp3]
流行,spread; prevalent; be popular,liú xíng,[sound:流行.mp3]
父亲,father,fù qin,[sound:父亲.mp3]
共同,together; common; joint,gòng tóng,[sound:共同.mp3]
交通,traffic; transportation,jiāo tōng,[sound:交通.mp3]
周围,surroundings; vicinity; environment,zhōu wéi,[sound:周围.mp3]
桥,bridge,qiáo,[sound:桥.mp3]
笨,stupid; foolish; silly; dumb; clumsy,bèn,[sound:笨.mp3]
愉快,happy; cheerful; delightful,yú kuài,[sound:愉快.mp3]
赶,catch up; overtake; drive away,gǎn,[sound:赶.mp3]
母亲,mother,mǔ qin,[sound:母亲.mp3]
聚会,hold a meeting; get together; a party,jù huì,[sound:聚会.mp3]
引起,give rise to; lead to; to cause; arouse,yǐn qǐ,[sound:引起.mp3]
数字,number; numeral; figure; digit,shù zì,[sound:数字.mp3]
到处,everywhere; in all places; all over,dào chù,[sound:到处.mp3]
究竟,after all; when all is said and done; actually,jiū jìng,[sound:究竟.mp3]
受到,"receive (influence, restriction, etc.); be subjected to",shòu dào,[sound:受到.mp3]
职业,profession; occupation,zhí yè,[sound:职业.mp3]
意见,opinion; view; suggestion; complaint,yì jiàn,[sound:意见.mp3]
怀疑,doubt; to suspect; be skeptical,huái yí,[sound:怀疑.mp3]
世纪,century,shì jì,[sound:世纪.mp3]
骄傲,proud; arrogant; conceited; take pride in,jiāo ào,[sound:骄傲.mp3]
印象,impression,yìn xiàng,[sound:印象.mp3]
危险,danger; dangerous; perilous,wēi xiǎn,[sound:危险.mp3]
合适,suitable; proper; appropriate,hé shì,[sound:合适.mp3]
厕所,bathroom; toilet; lavatory,cè suǒ,[sound:厕所.mp3]
整理,put in order; arrange; straighten up; to tidy; to pack (luggage),zhěng lǐ,[sound:整理.mp3]
互相,mutually; with each other,hù xiāng,[sound:互相.mp3]
通知,notify; to inform; notice,tōng zhī,[sound:通知.mp3]
顺便,conveniently; in passing; on the way,shùn biàn,[sound:顺便.mp3]
密码,password; secret code,mì mǎ,[sound:密码.mp3]
条件,condition; circumstances; prerequisite,tiáo jiàn,[sound:条件.mp3]
有趣,interesting; fascinating; amusing,yǒu qù,[sound:有趣.mp3]
举行,"convene; to hold (a meeting, ceremony, etc.)",jǔ xíng,[sound:举行.mp3]
基础,base; foundation,jī chǔ,[sound:基础.mp3]
汗,sweat; perspiration; Khan,hàn,[sound:汗.mp3]
扔,to throw; throw away,rēng,[sound:扔.mp3]
交流,communicate; exchange; give and take; interaction; to alternate,jiāo liú,[sound:交流.mp3]
仍然,still; yet,réng rán,[sound:仍然.mp3]
饺子,dumpling; potsticker,jiǎo zi,[sound:饺子.mp3]
公里,kilometer,gōng lǐ,[sound:公里.mp3]
脱,to shed; take off; to escape,tuō,[sound:脱.mp3]
演员,actor or actress; performer,yǎn yuán,[sound:演员.mp3]
讨论,to discuss; discussion; to talk over,tǎo lùn,[sound:讨论.mp3]
杂志,magazine,zá zhì,[sound:杂志.mp3]
收拾,to tidy; put in order; to repair; to settle with; punish,shōu shi,[sound:收拾.mp3]
目的,purpose; aim; goal,mù dì,[sound:目的.mp3]
餐厅,dining hall; cafeteria; restaurant,cān tīng,[sound:餐厅.mp3]
吸引,"attract (interest, investment, etc.)",xī yǐn,[sound:吸引.mp3]
首先,first (of all); in the first place; firstly,shǒu xiān,[sound:首先.mp3]
法律,law; statute,fǎ lǜ,[sound:法律.mp3]
温度,temperature,wēn dù,[sound:温度.mp3]
将来,the future,jiāng lái,[sound:将来.mp3]
眼镜,glasses; spectacles,yǎn jìng,[sound:眼镜.mp3]
尽管,despite; although; even though | freely; without hesitation,jǐn guǎn,[sound:尽管.mp3]
号码,number,hào mǎ,[sound:号码.mp3]
材料,material,cái liào,[sound:材料.mp3]
放松,relax; loosen; slacken,fàng sōng,[sound:放松.mp3]
区别,difference; distinguish,qū bié,[sound:区别.mp3]
出生,be born,chū shēng,[sound:出生.mp3]
演出,to act (in a play); to perform; to put on a show; performance,yǎn chū,[sound:演出.mp3]
故意,deliberately; intentional; on purpose,gù yì,[sound:故意.mp3]
寄,send by mail,jì,[sound:寄.mp3]
降低,reduce; to lower; to drop,jiàng dī,[sound:降低.mp3]
收入,take in; income; revenue,shōu rù,[sound:收入.mp3]
沙发,sofa,shā fā,[sound:沙发.mp3]
数量,amount; quantity; number,shù liàng,[sound:数量.mp3]
科学,science; scientific knowledge,kē xué,[sound:科学.mp3]
翻译,translate; translation; interpret,fān yì,[sound:翻译.mp3]
实际,actual; reality; practice,shí jì,[sound:实际.mp3]
只好,have to; be forced to,zhǐ hǎo,[sound:只好.mp3]
著名,famous; well-known; celebration,zhù míng,[sound:著名.mp3]
招聘,recruitment; take job applications for a job,zhāo pìn,[sound:招聘.mp3]
地点,place; site; location,dì diǎn,[sound:地点.mp3]
邀请,to invite,yāo qǐng,[sound:邀请.mp3]
正好,just (in time); just right; just enough; happen to; by chance,zhèng hǎo,[sound:正好.mp3]
缺点,weak point; defect; fault; shortcoming,quē diǎn,[sound:缺点.mp3]
暂时,temporary; transient; for the moment,zàn shí,[sound:暂时.mp3]
互联网,Internet,hù lián wǎng,[sound:互联网.mp3]
笑话,joke; laugh at,xiào hua,[sound:笑话.mp3]
热闹,bustling; lively; busy,rèn ao,[sound:热闹.mp3]
作者,author; writer,zuò zhě,[sound:作者.mp3]
民族,nationality; ethnic group,mín zú,[sound:民族.mp3]
观众,spectator; audience,guān zhòng,[sound:观众.mp3]
然而,however; yet; but,rán ér,[sound:然而.mp3]
好处,benefit; advantage,hǎo chu,[sound:好处.mp3]
阅读,read; reading,yuè dú,[sound:阅读.mp3]
及时,timely; in time; promptly; without delay,jí shí,[sound:及时.mp3]
约会,appointment; engagement; date,yuē huì,[sound:约会.mp3]
允许,to permit; allow,yǔn xǔ,[sound:允许.mp3]
教授,professor; instruct; to lecture,jiào shòu,[sound:教授.mp3]
仔细,careful; attentive; cautious,zǐ xì,[sound:仔细.mp3]
按照,according to; in accordance with; in light of,àn zhào,[sound:按照.mp3]
厨房,kitchen,chú fáng,[sound:厨房.mp3]
师傅,master; qualified worker; teacher,shī fu,[sound:师傅.mp3]
趟,(mw for trips times) | to wade,tàng | tāng,[sound:趟.mp3]
鼓励,encourage; inspire,gǔ lì,[sound:鼓励.mp3]
日记,diary,rì jì,[sound:日记.mp3]
规定,regulation; stipulate; fix; set,guī dìng,[sound:规定.mp3]
举,lift; raise; cite,jǔ,[sound:举.mp3]
符合,in keeping with; in accordance with; conform,fú hé,[sound:符合.mp3]
对面,opposite; across from; the other side,duì miàn,[sound:对面.mp3]
幽默,humorous,yōu mò,[sound:幽默.mp3]
耐心,to be patient,nài xīn,[sound:耐心.mp3]
葡萄,grape,pú tao,[sound:葡萄.mp3]
详细,detailed; in detail; minute,xiáng xì,[sound:详细.mp3]
得意,proud of oneself; complacent,dé yì,[sound:得意.mp3]
寒假,winter vacation,hán jià,[sound:寒假.mp3]
重视,to value; take seriously,zhòng shì,[sound:重视.mp3]
咳嗽,to cough,ké sou,[sound:咳嗽.mp3]
友谊,friendship; companionship,yǒu yì,[sound:友谊.mp3]
举办,to conduct; to hold,jǔ bàn,[sound:举办.mp3]
包子,steamed stuffed bun,bāo zi,[sound:包子.mp3]
适应,to suit; to fit; adapt,shì yìng,[sound:适应.mp3]
咸,salty; salted; all,xián,[sound:咸.mp3]
道歉,apologize; make an apology,dào qiàn,[sound:道歉.mp3]
钥匙,key,yào shi,[sound:钥匙.mp3]
尤其,especially; particularly,yóu qí,[sound:尤其.mp3]
抽烟,"to smoke (a cigarette, pipe, etc.)",chōu yān,[sound:抽烟.mp3]
